Swing_Rank,Ticker,WinRate_5d,WinRate_10d,WinRate_20d,AvgRet_5d,AvgRet_10d,AvgRet_20d,Sample_Signals,Swing_Score,Sharia
1,MU,63.64,63.64,77.27,2.01,6.8,11.94,22,11802.52,Halal
2,BKNG,81.82,81.82,86.36,1.95,2.71,4.79,22,7446.93,Doubtful
3,COIN,54.55,63.64,45.45,2.88,4.17,2.79,22,6623.54,Not Halal
4,MPC,53.85,61.54,100.0,0.86,0.38,8.95,13,3146.62,Not Halal
5,NET,63.64,54.55,50.0,3.3,0.8,-4.61,22,2500.88,Not Halal
6,APP,63.64,68.18,50.0,0.35,3.48,-1.06,22,2101.08,Doubtful
7,VLO,50.0,57.14,71.43,0.56,1.21,3.85,14,1772.51,Halal
8,DELL,38.46,53.85,76.92,-0.09,1.27,5.79,13,1488.66,Not Halal
9,E,60.0,60.0,90.0,0.11,0.54,4.8,10,1310.35,Not Halal
10,NTR,53.33,60.0,93.33,-0.01,0.26,4.22,15,1156.42,Not Halal
11,HCA,42.11,42.11,63.16,0.02,-0.12,2.84,19,538.14,Not Halal
12,CVX,63.16,73.68,73.68,-0.05,-0.44,2.66,19,488.56,Halal
13,AXTI,22.22,33.33,55.56,-6.67,-1.86,25.35,9,261.04,Not Halal
14,COP,63.64,63.64,72.73,-0.35,-1.02,4.2,11,249.41,Not Halal
15,LYB,25.0,16.67,66.67,-1.14,-1.28,7.66,12,199.91,Not Halal
16,EQIX,30.0,40.0,70.0,-0.44,-0.42,0.39,10,-239.58,Halal
17,PSX,46.67,40.0,73.33,-1.08,-1.37,4.28,15,-364.76,Not Halal
18,WM,41.18,70.59,35.29,-0.74,0.59,-1.1,17,-462.68,Halal
19,CRWD,40.91,54.55,59.09,-0.75,-0.54,-0.43,22,-922.11,Halal
20,OXY,28.57,42.86,42.86,-2.54,-1.3,1.39,7,-1046.3,Not Halal
21,DOW,25.0,12.5,56.25,-1.41,-2.83,0.8,16,-1140.89,Not Halal
22,USO,8.33,8.33,16.67,-5.2,-5.54,-3.98,12,-1614.06,Unknown
23,FFIV,50.0,45.45,22.73,-0.68,-0.93,-4.08,22,-1726.15,Halal
24,FANG,46.15,30.77,30.77,-1.68,-2.73,-2.97,13,-2181.68,Not Halal
25,EQNR,9.09,27.27,27.27,-5.03,-3.87,-1.45,11,-2200.38,Not Halal
26,SHEL,30.77,38.46,38.46,-2.21,-4.47,-0.84,13,-2500.69,Not Halal
27,CF,16.67,25.0,25.0,-4.86,-4.03,-5.33,12,-2999.82,Halal
28,PLTR,36.36,27.27,22.73,-1.44,-9.07,-10.55,22,-5474.44,Not Halal
29,VRT,23.08,38.46,38.46,-7.73,-3.36,-8.52,13,-7559.24,Halal
