Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Quant_Score
1,USO,118.56,37.8,0.88,0.9131,30.3469
2,CF,130.47,34.36,0.92,0.9027,28.4331
3,VLO,231.51,32.18,0.5,0.9392,15.1539
4,AXTI,50.26,15.18,0.76,0.9662,11.1772
5,LYB,73.61,15.98,0.7,0.9483,10.5609
6,NET,210.43,46.62,0.31,0.7094,10.308
7,CRWD,438.46,88.21,0.21,0.5224,9.6654
8,APP,454.1,60.88,0.33,0.4652,9.2551
9,MPC,228.04,32.75,0.29,0.9346,8.7667
10,DELL,150.15,30.37,0.34,0.8319,8.6224
11,PSX,173.63,19.27,0.47,0.9476,8.5755
12,NBIS,113.81,11.22,0.85,0.7777,7.3797
13,BKNG,4246.79,187.49,0.16,0.2392,7.0595
14,PLTR,151.12,22.28,0.51,0.6141,6.9942
15,NTR,82.53,9.77,0.73,0.9342,6.69
16,SHEL,89.21,8.43,0.66,0.9919,5.4998
17,MU,425.09,7.08,0.84,0.9228,5.4606
18,EQIX,970.68,23.94,0.24,0.9442,5.345
19,COP,121.03,10.44,0.46,0.9674,4.6901
20,EQNR,35.31,6.19,0.75,0.9886,4.6007
21,CVX,195.6,10.26,0.42,0.9548,4.107
22,COIN,197.51,35.48,0.59,0.1905,3.9907
23,E,51.15,6.68,0.58,0.997,3.8676
24,VRT,260.81,7.66,0.51,0.9285,3.6074
25,HCA,536.86,10.34,0.35,0.9268,3.3858
26,FANG,180.64,9.15,0.4,0.9205,3.3255
27,FFIV,289.31,17.28,0.34,0.5362,3.187
28,DOW,37.01,6.32,0.59,0.779,2.9174
29,OXY,57.84,6.14,0.47,0.9478,2.721
30,WM,238.52,8.94,0.36,0.8245,2.6763
31,CNQ,48.24,5.65,0.48,0.9773,2.627
32,APD,292.82,13.35,0.3,0.6236,2.4992
33,WDC,275.59,5.15,0.54,0.8784,2.4525
34,EOG,133.48,9.78,0.26,0.9287,2.4052
35,ROST,208.05,7.5,0.35,0.9083,2.3891
36,DDOG,124.83,20.4,0.32,0.3599,2.3703
37,FSLY,24.96,7.29,0.34,0.9612,2.3614
38,ADM,72.67,4.65,0.51,0.9692,2.3096
39,XOM,155.42,6.16,0.4,0.9356,2.2974
40,AXON,497.93,55.42,0.2,0.2074,2.257
41,SPOT,512.04,46.38,0.17,0.2817,2.1937
42,INTU,431.66,72.95,0.16,0.179,2.1534
43,DUK,133.78,5.32,0.4,0.9898,2.132
44,EXPE,227.0,29.31,0.13,0.5629,2.1241
45,DBA,26.8,0.78,3.48,0.7737,2.1153
46,COST,1008.26,9.83,0.29,0.7207,2.0653
47,NOC,737.77,10.04,0.21,0.8983,1.8783
48,ADSK,250.09,29.18,0.21,0.3075,1.875
49,PDBC,17.06,2.36,0.77,0.9657,1.7595
50,PANW,166.19,24.52,0.22,0.3168,1.6777
51,DOCN,68.02,5.28,0.33,0.9464,1.6672
52,MRVL,87.55,9.16,0.35,0.5069,1.6188
53,RTX,205.5,7.04,0.25,0.9135,1.6055
54,LHX,359.35,6.31,0.28,0.9018,1.5911
55,IBM,247.42,18.1,0.26,0.3425,1.5871
56,AKAM,107.16,7.03,0.26,0.8621,1.5813
57,TTE,82.63,3.52,0.45,0.9916,1.5674
58,MSI,474.81,3.96,0.46,0.8386,1.5397
59,VRSN,234.96,21.51,0.16,0.4376,1.5386
60,YOU,44.58,11.36,0.16,0.8114,1.4883
61,TWLO,124.22,10.37,0.22,0.6275,1.3999
62,SNOW,176.53,15.47,0.25,0.3514,1.3636
63,NFLX,94.44,16.4,0.25,0.3288,1.333
64,MSTR,140.84,16.23,0.79,0.1039,1.3306
65,KR,75.49,5.73,0.24,0.9464,1.324
66,PBR,18.75,2.2,0.61,0.9396,1.2594
67,SBUX,99.5,2.99,0.61,0.6375,1.1589
68,CAVA,81.77,13.97,0.23,0.3489,1.1274
69,ATO,188.66,6.64,0.17,0.9933,1.1003
70,SU,59.29,3.75,0.26,0.9721,0.9303
71,DVN,45.94,2.67,0.36,0.9779,0.9272
72,XLE,57.52,2.42,0.38,0.968,0.8919
73,ORCL,156.3,10.16,0.5,0.1705,0.8728
74,CINF,164.95,4.22,0.25,0.8251,0.8727
75,EBAY,90.42,5.4,0.21,0.7647,0.8668
76,DLR,181.62,3.38,0.29,0.8555,0.8351
77,ANET,133.04,4.27,0.28,0.6977,0.8346
78,WIX,87.24,21.75,0.26,0.1446,0.8288
79,ED,115.1,4.09,0.19,1.0,0.7876
80,AWK,140.1,6.02,0.19,0.6833,0.7838
81,HIMS,23.73,8.27,0.55,0.1686,0.7734
82,NOK,8.26,0.77,1.1,0.9131,0.7662
83,SHOP,122.38,5.44,0.29,0.4676,0.7297
84,XYZ,59.9,8.9,0.26,0.2841,0.6657
85,VZ,51.53,1.67,0.4,0.9918,0.6638
86,UUP,27.87,0.76,1.31,0.652,0.6541
87,MSFT,395.49,6.49,0.37,0.2538,0.616
88,NDAQ,85.15,4.04,0.27,0.5566,0.6144
89,IBIT,40.76,4.23,0.94,0.1495,0.5917
90,CZR,28.22,7.88,0.15,0.4679,0.557
91,NYT,78.32,2.48,0.25,0.8846,0.5515
92,IT,165.54,18.21,0.49,0.0593,0.5315
93,FIGS,14.87,3.91,0.17,0.8124,0.5254
94,FTNT,82.98,7.75,0.24,0.2877,0.5251
95,TTWO,208.51,4.32,0.33,0.3563,0.507
96,ACHC,23.92,6.75,0.2,0.3504,0.4807
97,MRNA,52.3,1.78,0.33,0.8055,0.4753
98,HUBS,259.15,26.55,0.23,0.0771,0.466
99,FE,51.45,0.81,0.57,0.9808,0.4523
100,GD,353.37,2.19,0.23,0.8791,0.4519
101,CVS,76.71,2.53,0.21,0.82,0.4374
102,EC,13.7,1.28,0.35,0.9506,0.4273
103,CIBR,64.99,3.41,0.27,0.4368,0.4093
104,XPEV,20.14,1.41,0.54,0.5265,0.4019
105,ENB,53.85,1.45,0.27,0.9655,0.3767
106,EXPD,142.16,3.33,0.18,0.6315,0.3751
107,NOW,111.89,9.4,0.41,0.0981,0.375
108,IOT,31.69,5.62,0.31,0.2157,0.3709
109,MGM,36.65,1.6,0.3,0.7088,0.3466
110,UNH,280.33,8.5,0.3,0.1362,0.3431
111,AEP,133.26,0.87,0.4,0.9723,0.3376
112,HPE,21.65,1.4,0.34,0.6814,0.3274
113,TGT,117.15,1.63,0.32,0.6287,0.3243
