Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Quant_Score
1,USO,119.25,38.49,0.8,0.924,28.6143
2,CF,130.08,33.97,0.87,0.8972,26.6093
3,VLO,231.36,32.03,0.47,0.9382,14.0591
4,AXTI,50.7,15.62,0.68,0.9748,10.4045
5,LYB,73.42,15.8,0.65,0.9431,9.6373
6,NET,209.88,46.07,0.29,0.7062,9.5746
7,CRWD,437.32,87.07,0.2,0.5181,8.8438
8,APP,454.26,61.04,0.3,0.4655,8.5103
9,MPC,228.62,33.33,0.26,0.9393,8.0169
10,PSX,173.9,19.54,0.42,0.9506,7.8915
11,BKNG,4268.75,209.46,0.14,0.2499,7.4957
12,NBIS,114.15,11.57,0.79,0.7805,7.1171
13,DELL,148.29,28.51,0.3,0.8137,7.0267
14,NTR,82.4,9.64,0.68,0.9312,6.1118
15,PLTR,150.34,21.5,0.46,0.6088,6.0555
16,SHEL,88.84,8.06,0.57,0.9809,4.5166
17,EQNR,35.35,6.23,0.68,0.9915,4.2133
18,EQIX,968.03,21.29,0.2,0.9355,3.9811
19,CVX,195.2,9.86,0.38,0.9493,3.5134
20,COIN,196.2,34.17,0.55,0.1862,3.4941
21,COP,120.62,10.03,0.36,0.9585,3.459
22,E,51.02,6.55,0.53,0.9922,3.4347
23,FANG,180.06,8.57,0.36,0.9128,2.7774
24,FFIV,288.64,16.61,0.31,0.5307,2.7106
25,DOW,36.91,6.22,0.55,0.7745,2.6619
26,VRT,259.14,5.99,0.47,0.921,2.581
27,HCA,535.43,8.91,0.31,0.9215,2.5682
28,OXY,57.58,5.88,0.44,0.9375,2.4013
29,WM,238.35,8.77,0.33,0.8215,2.3905
30,ROST,208.32,7.76,0.33,0.9111,2.3097
